Header,GPSWeek,GPSTime,Heading,Pitch,Roll,gyrox,gyroy,gyroz,accx,accy,accz,Lattitude,Longitude,Altitude,Ve,Vn,Vu,V,NSV1,NSV2,Status,Age,Warming*Cs,
$GPCHC,2125,120052.8,175.35,4.6,-0.59,5.25,-21.77,-2.16,0.007,0.0554,0.6887,32.02830758,118.8562186,28.34,-0.006,0.928,-0.094,0.928,20,17,41,1,2*4B,
$GPCHC,2125,120053,175.35,0.17,-5.28,-0.81,-11.07,-3.35,0.0596,0.0019,0.6448,32.02830912,118.8562185,28.34,-0.025,0.886,-0.146,0.887,20,17,41,1,2*62,
$GPCHC,2125,120053.2,176.84,-4.37,-8.02,11.01,-7.32,-4.17,0.0821,-0.0449,0.5826,32.02831069,118.8562185,28.34,0.053,0.838,-0.003,0.839,20,17,41,1,2*62,
$GPCHC,2125,120053.4,177.94,0.04,-10.71,-3.09,15.31,-0.47,0.1754,0.0006,0.9276,32.02831228,118.8562186,28.34,-0.022,0.808,0.033,0.808,20,17,41,1,2*55,
$GPCHC,2125,120053.6,177.78,-2.03,-14.7,4.38,11.17,-0.38,0.2048,-0.0287,0.7807,32.02831387,118.8562185,28.34,-0.064,0.897,-0.204,0.9,20,16,41,0,2*5A,
$GPCHC,2125,120053.8,179.35,3.43,-8.6,-0.64,15.13,-1.16,0.1321,0.053,0.8731,32.02831548,118.8562185,28.34,-0.002,0.901,-0.062,0.901,20,16,41,1,2*4E,
$GPCHC,2125,120054,178.92,5.73,-0.78,-2.52,14.43,9.87,0.02,0.1471,1.4668,32.02831705,118.8562185,28.35,0.018,0.867,0.048,0.867,20,16,41,1,2*65,
$GPCHC,2125,120054.6,172.38,5.1,-4.53,-1.49,-11.45,4.24,0.0693,0.0783,0.8749,32.02832145,118.8562177,28.31,-0.169,0.778,-0.102,0.797,20,17,41,0,2*4F,
$GPCHC,2125,120054.8,172.22,4.31,-15.31,-4.05,6.54,7.01,0.2004,0.0572,0.732,32.02832296,118.8562175,28.32,-0.13,0.859,-0.026,0.869,20,17,41,1,2*69,
$GPCHC,2125,120055,171.02,5.08,-10.48,-0.54,-9.11,2.57,0.1304,0.0637,0.7051,32.02832452,118.8562172,28.31,-0.108,0.817,-0.034,0.824,20,17,41,1,2*45,
